username,password,is_superuser,first_name,last_name,email,phone_number,is_staff,is_active,date_joined
류영길,,FALSE,영길,류,test1@test.com,010-1234-5678,FALSE,TRUE,9/17/22
권상호,,FALSE,상호,권,test2@test.com,010-1234-5679,FALSE,TRUE,9/17/22
배성진,,FALSE,성진,배,test3@test.com,010-1234-5680,FALSE,TRUE,9/17/22
윤재호,,FALSE,재호,윤,test4@test.com,010-1234-5681,FALSE,TRUE,9/17/22
윤현숙,,FALSE,현숙,윤,test5@test.com,010-1234-5682,FALSE,TRUE,9/17/22
최도현,,FALSE,도현,최,test6@test.com,010-1234-5683,FALSE,TRUE,9/17/22
윤채원,,FALSE,채원,윤,test7@test.com,010-1234-5684,FALSE,TRUE,9/17/22
최승현,,FALSE,승현,최,test8@test.com,010-1234-5685,FALSE,TRUE,9/17/22
홍경희,,FALSE,경희,홍,test9@test.com,010-1234-5686,FALSE,TRUE,9/17/22
홍지현,,FALSE,지현,홍,test10@test.com,010-1234-5687,FALSE,TRUE,9/17/22
백준혁,,FALSE,준혁,백,test11@test.com,010-1234-5688,FALSE,TRUE,9/17/22
강하은,,FALSE,하은,강,test12@test.com,010-1234-5689,FALSE,TRUE,9/17/22
오영길,,FALSE,영길,오,test13@test.com,010-1234-5690,FALSE,TRUE,9/17/22
이정희,,FALSE,정희,이,test14@test.com,010-1234-5691,FALSE,TRUE,9/17/22
김윤서,,FALSE,윤서,김,test15@test.com,010-1234-5692,FALSE,TRUE,9/17/22
김성현,,FALSE,성현,김,test16@test.com,010-1234-5693,FALSE,TRUE,9/17/22
백순옥,,FALSE,순옥,백,test17@test.com,010-1234-5694,FALSE,TRUE,9/17/22
김지은,,FALSE,지은,김,test18@test.com,010-1234-5695,FALSE,TRUE,9/17/22
이경숙,,FALSE,경숙,이,test19@test.com,010-1234-5696,FALSE,TRUE,9/17/22
유사훈,,FALSE,사훈,유,test20@test.com,010-1234-5697,FALSE,TRUE,9/17/22
이영식,,FALSE,영식,이,test21@test.com,010-1234-5698,FALSE,TRUE,9/17/22
류유진,,FALSE,유진,류,test22@test.com,010-1234-5699,FALSE,TRUE,9/17/22
지예지,,FALSE,예지,지,test23@test.com,010-1234-5700,FALSE,TRUE,9/17/22
류영식,,FALSE,영식,류,test24@test.com,010-1234-5701,FALSE,TRUE,9/17/22
이현숙,,FALSE,현숙,이,test25@test.com,010-1234-5702,FALSE,TRUE,9/17/22
박현지,,FALSE,현지,박,test26@test.com,010-1234-5703,FALSE,TRUE,9/17/22
김민준,,FALSE,민준,김,test27@test.com,010-1234-5704,FALSE,TRUE,9/17/22
서정숙,,FALSE,정숙,서,test28@test.com,010-1234-5705,FALSE,TRUE,9/17/22
지영일,,FALSE,영일,지,test29@test.com,010-1234-5706,FALSE,TRUE,9/17/22
이서윤,,FALSE,서윤,이,test30@test.com,010-1234-5707,FALSE,TRUE,9/17/22
박영식,,FALSE,영식,박,test31@test.com,010-1234-5708,FALSE,TRUE,9/17/22
김현준,,FALSE,현준,김,test32@test.com,010-1234-5709,FALSE,TRUE,9/17/22
박영철,,FALSE,영철,박,test33@test.com,010-1234-5710,FALSE,TRUE,9/17/22
박정남,,FALSE,정남,박,test34@test.com,010-1234-5711,FALSE,TRUE,9/17/22
이윤서,,FALSE,윤서,이,test35@test.com,010-1234-5712,FALSE,TRUE,9/17/22
성지우,,FALSE,지우,성,test36@test.com,010-1234-5713,FALSE,TRUE,9/17/22
허정희,,FALSE,정희,허,test37@test.com,010-1234-5714,FALSE,TRUE,9/17/22
이승현,,FALSE,승현,이,test38@test.com,010-1234-5715,FALSE,TRUE,9/17/22
안순자,,FALSE,순자,안,test39@test.com,010-1234-5716,FALSE,TRUE,9/17/22
이정희,,FALSE,정희,이,test40@test.com,010-1234-5717,FALSE,TRUE,9/17/22
장보람,,FALSE,보람,장,test41@test.com,010-1234-5718,FALSE,TRUE,9/17/22
양서준,,FALSE,서준,양,test42@test.com,010-1234-5719,FALSE,TRUE,9/17/22
김건우,,FALSE,건우,김,test43@test.com,010-1234-5720,FALSE,TRUE,9/17/22
김선영,,FALSE,선영,김,test44@test.com,010-1234-5721,FALSE,TRUE,9/17/22
이병철,,FALSE,병철,이,test45@test.com,010-1234-5722,FALSE,TRUE,9/17/22
최상훈,,FALSE,상훈,최,test46@test.com,010-1234-5723,FALSE,TRUE,9/17/22
김채원,,FALSE,채원,김,test47@test.com,010-1234-5724,FALSE,TRUE,9/17/22
이민지,,FALSE,민지,이,test48@test.com,010-1234-5725,FALSE,TRUE,9/17/22
김성훈,,FALSE,성훈,김,test49@test.com,010-1234-5726,FALSE,TRUE,9/17/22
양진우,,FALSE,진우,양,test50@test.com,010-1234-5727,FALSE,TRUE,9/17/22
